hipcenter: 0.03560729,-0.06519722,2.027724	hipright: 0.08128439,-0.129975,2.07021	kneeright: 0.04244442,-0.4599735,2.061863	ankleright: 0.01949614,-0.7439886,2.060047	footright: 0.0721305,-0.7757788,2.001272	hipleft: -0.005709212,-0.1343493,1.966708	kneeleftleft: -0.06923109,-0.4871911,1.967603	ankleleft: -0.1118381,-0.7099534,1.936505	footleft: -0.05920375,-0.7417437,1.877729	TIME4/12/2014 2:04:18 PM
hipcenter: 0.05515116,-0.03555656,2.084657	hipright: 0.1079728,-0.1094187,2.118919	kneeright: 0.0658854,-0.502642,2.095549	ankleright: 0.02882996,-0.7796753,2.078301	footright: 0.07651034,-0.8118715,2.011912	hipleft: 0.00461637,-0.08984123,2.031503	kneeleftleft: -0.02047604,-0.4757736,1.999949	ankleleft: -0.08743061,-0.7273296,1.937068	footleft: -0.03975023,-0.7595257,1.870678	TIME4/12/2014 2:04:19 PM
hipcenter: 0.04960617,-0.03391958,2.090032	hipright: 0.1039379,-0.1092488,2.120656	kneeright: 0.06831199,-0.4986323,2.096988	ankleright: 0.02544437,-0.7964963,2.086192	footright: 0.07019462,-0.8287495,2.017705	hipleft: -0.008981355,-0.08588503,2.042892	kneeleftleft: -0.004093374,-0.4733053,1.985709	ankleleft: -0.0748859,-0.7300251,1.929258	footleft: -0.05361171,-0.8016802,1.929692	TIME4/12/2014 2:04:19 PM
hipcenter: 0.04766734,-0.03241971,2.094819	hipright: 0.1028823,-0.1087191,2.122532	kneeright: 0.07352187,-0.4905763,2.102803	ankleright: 0.026638,-0.7893806,2.086414	footright: 0.06959879,-0.8217459,2.016723	hipleft: -0.01203457,-0.08370646,2.04977	kneeleftleft: 0.001322516,-0.4724979,1.981557	ankleleft: -0.07024032,-0.7317486,1.926413	footleft: -0.04807232,-0.8031166,1.930218	TIME4/12/2014 2:04:19 PM
hipcenter: 0.04752675,-0.03130879,2.100734	hipright: 0.1036121,-0.1075501,2.126217	kneeright: 0.0840584,-0.4311823,2.110511	ankleright: 0.03812971,-0.7330357,2.090266	footright: 0.07942735,-0.7655253,2.019445	hipleft: -0.01333743,-0.08291458,2.058033	kneeleftleft: 0.007774631,-0.467748,1.981917	ankleleft: -0.06524001,-0.7323296,1.924065	footleft: -0.05091127,-0.805602,1.930738	TIME4/12/2014 2:04:19 PM
hipcenter: 0.04735264,-0.02945293,2.104808	hipright: 0.1040719,-0.1058271,2.129109	kneeright: 0.08342388,-0.4294194,2.109115	ankleright: 0.03834878,-0.734015,2.090194	footright: 0.07801175,-0.7665454,2.018306	hipleft: -0.01422216,-0.08139361,2.062919	kneeleftleft: 0.008829264,-0.4668992,1.982312	ankleleft: -0.06204498,-0.7314339,1.921797	footleft: -0.05147666,-0.8054593,1.928396	TIME4/12/2014 2:04:19 PM
hipcenter: 0.04691087,-0.02813211,2.107691	hipright: 0.1042634,-0.1042294,2.130549	kneeright: 0.08096495,-0.427828,2.107093	ankleright: 0.03708879,-0.7372508,2.091161	footright: 0.07574864,-0.7696315,2.018384	hipleft: -0.01466997,-0.07979212,2.066866	kneeleftleft: 0.005822702,-0.4657031,1.977854	ankleleft: -0.06084661,-0.7312124,1.920777	footleft: -0.02218677,-0.7635931,1.847999	TIME4/12/2014 2:04:19 PM
hipcenter: 0.04684587,-0.02677519,2.108558	hipright: 0.1046505,-0.1023779,2.131431	kneeright: 0.07075634,-0.4922936,2.107828	ankleright: 0.0268564,-0.8026942,2.092525	footright: 0.06504619,-0.8350798,2.019392	hipleft: -0.01460391,-0.07875953,2.067798	kneeleftleft: 0.005340316,-0.463963,1.978847	ankleleft: -0.06123978,-0.7312086,1.92079	footleft: -0.02304999,-0.7635942,1.847657	TIME4/12/2014 2:04:19 PM
hipcenter: 0.0467119,-0.02511529,2.108822	hipright: 0.1052883,-0.09999625,2.131898	kneeright: 0.05172308,-0.4744596,2.085802	ankleright: 0.02739272,-0.7870775,2.090482	footright: 0.06543964,-0.8194087,2.017226	hipleft: -0.01473616,-0.07789462,2.067719	kneeleftleft: 0.004294886,-0.4631989,1.981566	ankleleft: -0.06446119,-0.7310404,1.922104	footleft: -0.02641426,-0.7633715,1.848848	TIME4/12/2014 2:04:19 PM
hipcenter: 0.04602792,-0.02413065,2.107734	hipright: 0.1048356,-0.09935736,2.131524	kneeright: 0.04840942,-0.4722674,2.083894	ankleright: 0.02832096,-0.7858913,2.090929	footright: 0.06669118,-0.8182962,2.017791	hipleft: -0.01498817,-0.07704157,2.06592	kneeleftleft: -0.008585334,-0.4671553,1.985945	ankleleft: -0.07083308,-0.7313824,1.925394	footleft: -0.03246286,-0.7637873,1.852256	TIME4/12/2014 2:04:19 PM
hipcenter: 0.04412346,-0.02275852,2.104318	hipright: 0.1027898,-0.09878027,2.130386	kneeright: 0.04333671,-0.4787361,2.0834	ankleright: 0.0271659,-0.7932317,2.090885	footright: 0.0677402,-0.8257945,2.018956	hipleft: -0.01569963,-0.07551364,2.058466	kneeleftleft: -0.02018573,-0.465497,1.994456	ankleleft: -0.07924783,-0.7263448,1.930772	footleft: -0.03867353,-0.7589076,1.858843	TIME4/12/2014 2:04:20 PM
hipcenter: 0.04006537,-0.02025166,2.098567	hipright: 0.0988542,-0.09741803,2.127754	kneeright: 0.04168509,-0.4790022,2.083931	ankleright: 0.02614608,-0.7942256,2.091108	footright: 0.06840949,-0.8268657,2.020125	hipleft: -0.01843185,-0.07387017,2.04967	kneeleftleft: -0.02900081,-0.4655973,1.995676	ankleleft: -0.08568428,-0.7285533,1.933944	footleft: -0.04342088,-0.7611933,1.862961	TIME4/12/2014 2:04:20 PM
hipcenter: 0.03098835,-0.02019549,2.089238	hipright: 0.08375171,-0.0988559,2.122638	kneeright: 0.03623708,-0.4807794,2.082748	ankleright: 0.02117914,-0.7882848,2.089681	footright: 0.06753054,-0.8216134,2.021639	hipleft: -0.02333874,-0.0747291,2.037516	kneeleftleft: -0.03474203,-0.4650644,1.997955	ankleleft: -0.0892945,-0.728673,1.936622	footleft: -0.04294311,-0.7620016,1.86858	TIME4/12/2014 2:04:20 PM
hipcenter: 0.02651909,-0.02009237,2.08331	hipright: 0.07970104,-0.09854518,2.119644	kneeright: 0.03365241,-0.4820203,2.082009	ankleright: 0.01938275,-0.7828171,2.087204	footright: 0.06750886,-0.8163984,2.020478	hipleft: -0.02651735,-0.0759683,2.030159	kneeleftleft: -0.03994016,-0.4658262,1.998152	ankleleft: -0.09370774,-0.731032,1.938308	footleft: -0.04558163,-0.7646132,1.871583	TIME4/12/2014 2:04:20 PM
hipcenter: 0.025775,-0.02056884,2.082544	hipright: 0.07834873,-0.09814972,2.120152	kneeright: 0.03257237,-0.4820525,2.081616	ankleright: 0.01782829,-0.7797985,2.084311	footright: 0.06804508,-0.8138004,2.019384	hipleft: -0.02639801,-0.07798716,2.028682	kneeleftleft: -0.04521626,-0.4656813,1.996715	ankleleft: -0.09664959,-0.7302382,1.938468	footleft: -0.0464328,-0.7642401,1.873541	TIME4/12/2014 2:04:20 PM
hipcenter: -0.01068723,-0.01393536,2.015815	hipright: 0.03927545,-0.08542559,2.057654	kneeright: 0.05357409,-0.4672632,2.002847	ankleright: 0.04614991,-0.7455685,1.998906	footright: 0.09958042,-0.7780346,1.936955	hipleft: -0.0478117,-0.07502921,1.960934	kneeleftleft: -0.09313991,-0.4614457,1.953148	ankleleft: -0.1165952,-0.7217081,1.926399	footleft: -0.0631647,-0.7541742,1.864449	TIME4/12/2014 2:04:20 PM
hipcenter: -0.01173442,-0.01020232,2.009715	hipright: 0.0430065,-0.08121519,2.049737	kneeright: 0.05418998,-0.4669126,2.001542	ankleright: 0.04714283,-0.7470888,1.999377	footright: 0.09749679,-0.7791197,1.934842	hipleft: -0.05263617,-0.07195065,1.95484	kneeleftleft: -0.08917224,-0.4593409,1.943553	ankleleft: -0.1159491,-0.7211581,1.92509	footleft: -0.06559516,-0.7531889,1.860555	TIME4/12/2014 2:04:20 PM
hipcenter: -0.0110758,-0.01137236,2.007825	hipright: 0.04486726,-0.08268559,2.045309	kneeright: 0.05499212,-0.4666197,2.002679	ankleright: 0.04511396,-0.7483226,2.003247	footright: 0.0943673,-0.7802499,1.937909	hipleft: -0.05290321,-0.07225518,1.95436	kneeleftleft: -0.08811036,-0.4597043,1.942882	ankleleft: -0.1146129,-0.7209121,1.924115	footleft: -0.06535958,-0.7528394,1.858777	TIME4/12/2014 2:04:20 PM
hipcenter: -0.01019226,-0.01158321,2.007368	hipright: 0.04672618,-0.08329116,2.044721	kneeright: 0.05516825,-0.4661098,2.003774	ankleright: 0.04159826,-0.7491658,2.007288	footright: 0.09004702,-0.7810943,1.941374	hipleft: -0.05286047,-0.0725413,1.954031	kneeleftleft: -0.08708069,-0.4593168,1.941857	ankleleft: -0.1129651,-0.7211815,1.923604	footleft: -0.06451629,-0.7531099,1.857689	TIME4/12/2014 2:04:20 PM
hipcenter: -0.003611247,-0.0120075,2.01019	hipright: 0.05428592,-0.08385433,2.047895	kneeright: 0.05465383,-0.4648746,2.012563	ankleright: 0.03835145,-0.7528237,2.014545	footright: 0.08572568,-0.7849158,1.947868	hipleft: -0.04951933,-0.07353076,1.956402	kneeleftleft: -0.08183374,-0.4601764,1.944151	ankleleft: -0.1114657,-0.7217679,1.923684	footleft: -0.06409143,-0.75386,1.857007	TIME4/12/2014 2:04:20 PM
hipcenter: 0.001245386,-0.01258464,2.012148	hipright: 0.05908101,-0.08516371,2.049196	kneeright: 0.05254471,-0.469187,2.017715	ankleright: 0.03663906,-0.7565295,2.020496	footright: 0.08361484,-0.7886353,1.95345	hipleft: -0.04679251,-0.07400874,1.958116	kneeleftleft: -0.07382286,-0.461598,1.95028	ankleleft: -0.11062,-0.7219164,1.924015	footleft: -0.06364423,-0.7540223,1.856969	TIME4/12/2014 2:04:21 PM
hipcenter: 0.009198482,-0.01486132,2.017138	hipright: 0.06446637,-0.08765143,2.05251	kneeright: 0.0491135,-0.4723967,2.023182	ankleright: 0.0344491,-0.7599827,2.026593	footright: 0.08157487,-0.7922802,1.959709	hipleft: -0.04041747,-0.07495982,1.963366	kneeleftleft: -0.0634795,-0.4616117,1.958705	ankleleft: -0.1090377,-0.7226031,1.925345	footleft: -0.06191189,-0.7549006,1.85846	TIME4/12/2014 2:04:21 PM
hipcenter: 0.0128836,-0.01641347,2.019682	hipright: 0.06702164,-0.08987169,2.05421	kneeright: 0.04809199,-0.4745416,2.027714	ankleright: 0.03300331,-0.7603928,2.029657	footright: 0.08010237,-0.7928516,1.96279	hipleft: -0.03699406,-0.07521288,1.967071	kneeleftleft: -0.06016359,-0.4613788,1.961894	ankleleft: -0.1082614,-0.7228338,1.925935	footleft: -0.0611623,-0.7552926,1.859068	TIME4/12/2014 2:04:21 PM
