hipcenter: -0.005479283,-0.02920879,2.29841	hipright: 0.07563889,-0.106279,2.285093	kneeright: 0.07818819,-0.5542992,2.270657	ankleright: 0.08099887,-0.8685346,2.267394	footright: 0.03767396,-0.9448462,2.254263	hipleft: -0.08544417,-0.1072587,2.263022	kneeleftleft: -0.1078632,-0.5782354,2.274053	ankleleft: -0.1125733,-0.8629482,2.266092	footleft: -0.106813,-0.8939766,2.166589	TIME4/8/2014 11:48:49 AM
hipcenter: -0.005537455,-0.02919637,2.298423	hipright: 0.07563434,-0.1062782,2.285151	kneeright: 0.07824997,-0.5542074,2.270721	ankleright: 0.08092737,-0.8678572,2.267265	footright: 0.03825819,-0.944666,2.254019	hipleft: -0.0855445,-0.1073063,2.262893	kneeleftleft: -0.1079726,-0.577584,2.274079	ankleleft: -0.1118477,-0.8628964,2.26633	footleft: -0.1060829,-0.8939682,2.166683	TIME4/8/2014 11:48:50 AM
hipcenter: -0.005542261,-0.02918324,2.298343	hipright: 0.07558482,-0.1062403,2.285078	kneeright: 0.07828456,-0.5540923,2.270637	ankleright: 0.07994334,-0.8677683,2.266445	footright: 0.03909767,-0.9459184,2.254415	hipleft: -0.08554159,-0.1072357,2.262805	kneeleftleft: -0.1079666,-0.5775896,2.274002	ankleleft: -0.1114878,-0.8629242,2.266409	footleft: -0.1058321,-0.894033,2.166594	TIME4/8/2014 11:48:50 AM
hipcenter: -0.005608155,-0.02902417,2.298234	hipright: 0.07543857,-0.1059263,2.284903	kneeright: 0.07837512,-0.5539842,2.270584	ankleright: 0.08022325,-0.867412,2.266603	footright: 0.03855036,-0.9450785,2.253388	hipleft: -0.0856074,-0.1070899,2.262694	kneeleftleft: -0.1079449,-0.577572,2.27387	ankleleft: -0.1114952,-0.862949,2.266336	footleft: -0.1058277,-0.8940996,2.166378	TIME4/8/2014 11:48:50 AM
hipcenter: -0.005655138,-0.02876923,2.29812	hipright: 0.07533614,-0.1055495,2.28489	kneeright: 0.07852307,-0.553812,2.27057	ankleright: 0.08030438,-0.8670008,2.266438	footright: 0.0408501,-0.9458208,2.252128	hipleft: -0.08559102,-0.1067835,2.262464	kneeleftleft: -0.1082206,-0.5758369,2.273691	ankleleft: -0.1110768,-0.8631499,2.266532	footleft: -0.1054174,-0.8943586,2.166379	TIME4/8/2014 11:48:50 AM
hipcenter: -0.005693058,-0.02871407,2.298118	hipright: 0.07529417,-0.105482,2.284889	kneeright: 0.07856722,-0.5536469,2.270506	ankleright: 0.07989456,-0.8666708,2.266293	footright: 0.0413795,-0.9460983,2.252296	hipleft: -0.08563557,-0.1067585,2.262463	kneeleftleft: -0.1087249,-0.5763652,2.273821	ankleleft: -0.1106819,-0.8630909,2.266458	footleft: -0.1050518,-0.8943263,2.166214	TIME4/8/2014 11:48:50 AM
hipcenter: -0.00555963,-0.02875392,2.298198	hipright: 0.07574797,-0.1056473,2.285088	kneeright: 0.07868856,-0.5536661,2.27057	ankleright: 0.0798948,-0.8666713,2.266316	footright: 0.04134228,-0.9461492,2.252375	hipleft: -0.08537147,-0.1068552,2.262519	kneeleftleft: -0.1091126,-0.5766309,2.273835	ankleleft: -0.1100849,-0.8630251,2.266452	footleft: -0.1040233,-0.8957121,2.166633	TIME4/8/2014 11:48:50 AM
hipcenter: -0.004516265,-0.02826183,2.299727	hipright: 0.07666782,-0.1057709,2.286219	kneeright: 0.07932035,-0.5531633,2.271095	ankleright: 0.07827793,-0.8681107,2.265831	footright: 0.08421807,-0.9008684,2.165689	hipleft: -0.0844757,-0.1057322,2.264008	kneeleftleft: -0.1092748,-0.5762706,2.274123	ankleleft: -0.1083987,-0.8630679,2.266585	footleft: -0.1024585,-0.8958256,2.166443	TIME4/8/2014 11:48:50 AM
hipcenter: -0.004304364,-0.02816816,2.300116	hipright: 0.07691225,-0.105829,2.286762	kneeright: 0.07935955,-0.5530988,2.271162	ankleright: 0.07828167,-0.868174,2.26588	footright: 0.08419946,-0.9009245,2.165771	hipleft: -0.08431469,-0.1055962,2.264321	kneeleftleft: -0.1093933,-0.5753627,2.274119	ankleleft: -0.1084162,-0.8629123,2.266542	footleft: -0.1024984,-0.8956628,2.166433	TIME4/8/2014 11:48:50 AM
hipcenter: -0.001944514,-0.02722917,2.302503	hipright: 0.07965153,-0.1054644,2.288507	kneeright: 0.08021393,-0.5524088,2.27203	ankleright: 0.07820816,-0.8674187,2.265871	footright: 0.08347894,-0.8981318,2.16537	hipleft: -0.08198507,-0.1046256,2.26722	kneeleftleft: -0.1093671,-0.5735421,2.274332	ankleleft: -0.1078085,-0.8629043,2.265978	footleft: -0.1025378,-0.8936175,2.165477	TIME4/8/2014 11:48:51 AM
hipcenter: -0.001908432,-0.02695566,2.302363	hipright: 0.07959971,-0.1050253,2.28799	kneeright: 0.08019539,-0.5523477,2.271922	ankleright: 0.07799158,-0.8669237,2.265628	footright: 0.08328544,-0.8976361,2.165156	hipleft: -0.08187255,-0.1043817,2.26734	kneeleftleft: -0.1093602,-0.5733506,2.274275	ankleleft: -0.1077142,-0.8631023,2.265951	footleft: -0.1024204,-0.8938146,2.165479	TIME4/8/2014 11:48:52 AM
hipcenter: -0.001994943,-0.02700356,2.302004	hipright: 0.07945658,-0.1051047,2.2873	kneeright: 0.08029462,-0.5523641,2.271834	ankleright: 0.0780966,-0.8666961,2.265594	footright: 0.08329543,-0.8973988,2.165141	hipleft: -0.08191363,-0.104384,2.267253	kneeleftleft: -0.1093599,-0.5732493,2.274241	ankleleft: -0.1077042,-0.8630916,2.265965	footleft: -0.1025054,-0.8937942,2.165511	TIME4/8/2014 11:48:52 AM
hipcenter: -0.002026652,-0.0270415,2.301707	hipright: 0.07938597,-0.1051432,2.287027	kneeright: 0.08025151,-0.5522978,2.271725	ankleright: 0.07817192,-0.8666837,2.265613	footright: 0.08320016,-0.8973721,2.165163	hipleft: -0.0819544,-0.1043378,2.266929	kneeleftleft: -0.1094671,-0.5745011,2.274187	ankleleft: -0.1079078,-0.8630481,2.265853	footleft: -0.1028795,-0.8937365,2.165403	TIME4/8/2014 11:48:52 AM
hipcenter: -0.002221893,-0.02671031,2.300416	hipright: 0.07924896,-0.1052004,2.286016	kneeright: 0.08046325,-0.5521922,2.271217	ankleright: 0.07788036,-0.8668619,2.265326	footright: 0.08354103,-0.89966,2.165654	hipleft: -0.08222931,-0.1037508,2.26517	kneeleftleft: -0.1099612,-0.5756583,2.27405	ankleleft: -0.1056935,-0.863421,2.266132	footleft: -0.1000328,-0.8962191,2.16646	TIME4/8/2014 11:48:52 AM
hipcenter: -0.001231816,-0.02680323,2.299365	hipright: 0.08026568,-0.1053299,2.285109	kneeright: 0.08052774,-0.5523026,2.270863	ankleright: 0.07833717,-0.8655192,2.265012	footright: 0.0413968,-0.9454822,2.250636	hipleft: -0.08078143,-0.1039071,2.263707	kneeleftleft: -0.109552,-0.5762378,2.273432	ankleleft: -0.1063298,-0.8634166,2.265806	footleft: -0.100422,-0.8961805,2.166226	TIME4/8/2014 11:48:53 AM
hipcenter: -0.00141891,-0.02680094,2.299167	hipright: 0.07988227,-0.1052006,2.284651	kneeright: 0.08052003,-0.5523705,2.270782	ankleright: 0.07753931,-0.8654903,2.264692	footright: 0.08334503,-0.8982447,2.165117	hipleft: -0.08089729,-0.1038524,2.263649	kneeleftleft: -0.1097055,-0.5768863,2.273508	ankleleft: -0.1063462,-0.863534,2.265827	footleft: -0.1005405,-0.8962885,2.166253	TIME4/8/2014 11:48:53 AM
hipcenter: -0.001498424,-0.02680534,2.299052	hipright: 0.07983883,-0.1052134,2.284502	kneeright: 0.0805632,-0.5525043,2.270731	ankleright: 0.07775214,-0.8653768,2.26478	footright: 0.08351265,-0.8981233,2.165222	hipleft: -0.08099853,-0.1038526,2.263572	kneeleftleft: -0.1093476,-0.5771588,2.273456	ankleleft: -0.1068021,-0.8638518,2.265826	footleft: -0.1010416,-0.8965984,2.166268	TIME4/8/2014 11:48:53 AM
hipcenter: -0.001547713,-0.02678571,2.298987	hipright: 0.0797675,-0.105177,2.284403	kneeright: 0.08063255,-0.552482,2.270689	ankleright: 0.07784544,-0.8657033,2.264646	footright: 0.08357988,-0.8984424,2.1651	hipleft: -0.0810587,-0.1037987,2.263512	kneeleftleft: -0.1092421,-0.5771581,2.273412	ankleleft: -0.1067369,-0.8638543,2.265855	footleft: -0.1010025,-0.8965934,2.16631	TIME4/8/2014 11:48:53 AM
hipcenter: -0.002003048,-0.02613617,2.298766	hipright: 0.07923602,-0.1042847,2.283575	kneeright: 0.08070011,-0.5527315,2.270635	ankleright: 0.07828903,-0.8659697,2.265113	footright: 0.08383466,-0.8986959,2.165569	hipleft: -0.08158321,-0.1031814,2.263691	kneeleftleft: -0.1089218,-0.5753152,2.273221	ankleleft: -0.1061593,-0.8635721,2.265781	footleft: -0.1006137,-0.8962983,2.166237	TIME4/8/2014 11:48:53 AM
hipcenter: -0.002362292,-0.02512315,2.296058	hipright: 0.07803399,-0.100754,2.276664	kneeright: 0.08083866,-0.5535879,2.27068	ankleright: 0.07705189,-0.8679787,2.266711	footright: 0.08196647,-0.9005924,2.167182	hipleft: -0.08129889,-0.1017496,2.261969	kneeleftleft: -0.1091617,-0.5725671,2.273137	ankleleft: -0.1064519,-0.8644036,2.26754	footleft: -0.1015373,-0.8970174,2.16801	TIME4/8/2014 11:48:53 AM
hipcenter: -0.002729242,-0.0248522,2.294721	hipright: 0.07743534,-0.1002453,2.275184	kneeright: 0.0809718,-0.5546241,2.270633	ankleright: 0.07704994,-0.8680466,2.266974	footright: 0.08178881,-0.9006326,2.167435	hipleft: -0.08161324,-0.1010273,2.260348	kneeleftleft: -0.1090838,-0.5716678,2.272666	ankleleft: -0.1069385,-0.8644493,2.267861	footleft: -0.1021996,-0.8970352,2.168323	TIME4/8/2014 11:48:53 AM
